State,2011_Total_Pop,2011_Pop_Below_Pov,2011_Pct_Below_Pov
Alabama,4687363,892483,19.0
Alaska,706860,73905,10.5
Arizona,6336449,1203501,19.0
Arkansas,2856663,555876,19.5
California,36941931,6118803,16.6
Colorado,5002128,674195,13.5
Connecticut,3471802,377856,10.9
Delaware,882353,104831,11.9
District of Columbia,584583,109363,18.7
Florida,18652057,3173456,17.0
Georgia,9550271,1827743,19.1
Hawaii,1338543,161290,12.0
Idaho,1550082,255027,16.5
Illinois,12566914,1879965,15.0
Indiana,6318942,1011017,16.0
Iowa,2963602,378864,12.8
Kansas,2786855,383467,13.8
Kentucky,4238283,811277,19.1
Louisiana,4445400,908375,20.4
Maine,1291650,182448,14.1
Maryland,5685412,571887,10.1
Massachusetts,6367148,738514,11.6
Michigan,9656260,1693294,17.5
Minnesota,5222556,621970,11.9
Mississippi,2884215,650524,22.6
Missouri,5831530,920118,15.8
Montana,974025,144054,14.8
Nebraska,1789275,234710,13.1
Nevada,2684536,426741,15.9
New Hampshire,1279118,112715,8.8
New Jersey,8646606,897376,10.4
New Mexico,2042530,439914,21.5
New York,18954044,3027342,16.0
North Carolina,9406091,1680963,17.9
North Dakota,660473,80882,12.2
Ohio,11234071,1845800,16.4
Oklahoma,3678924,633298,17.2
Oregon,3794213,662283,17.5
Pennsylvania,12328566,1695996,13.8
Rhode Island,1009941,148819,14.7
South Carolina,4538298,856938,18.9
South Dakota,794872,110681,13.9
Tennessee,6246380,1142299,18.3
Texas,25071125,4628758,18.5
Utah,2771344,374859,13.5
Vermont,601236,69075,11.5
Virginia,7854282,905914,11.5
Washington,6687073,929258,13.9
West Virginia,1802655,334885,18.6
Wisconsin,5554349,725797,13.1
Wyoming,554314,62629,11.3
