State,2014_Total_Pop,2014_Pop_Below_Pov,2014_Pct_Below_Pov
Alabama,4727549,910175,19.3
Alaska,717723,80627,11.2
Arizona,6573369,1199061,18.2
Arkansas,2882856,543882,18.9
California,38060228,6259098,16.4
Colorado,5237149,630786,12.0
Connecticut,3485629,374772,10.8
Delaware,909611,113508,12.5
District of Columbia,624327,110666,17.7
Florida,19470210,3211615,16.5
Georgia,9823859,1797969,18.3
Hawaii,1379804,156729,11.4
Idaho,1603083,237981,14.8
Illinois,12571848,1804535,14.4
Indiana,6391460,974218,15.2
Iowa,3004857,367816,12.2
Kansas,2821431,382712,13.6
Kentucky,4275359,817542,19.1
Louisiana,4518525,896524,19.8
Maine,1294009,182791,14.1
Maryland,5835377,589818,10.1
Massachusetts,6509672,757235,11.6
Michigan,9686787,1568844,16.2
Minnesota,5332552,611354,11.5
Mississippi,2895470,623113,21.5
Missouri,5878658,908628,15.5
Montana,997952,153954,15.4
Nebraska,1828121,227310,12.4
Nevada,2800768,426730,15.2
New Hampshire,1287504,117983,9.2
New Jersey,8762159,972903,11.1
New Mexico,2045525,436153,21.3
New York,19228524,3062938,15.9
North Carolina,9691794,1668686,17.2
North Dakota,712548,82264,11.5
Ohio,11276403,1785780,15.8
Oklahoma,3759517,623840,16.6
Oregon,3893475,644450,16.6
Pennsylvania,12371337,1682212,13.6
Rhode Island,1015655,145596,14.3
South Carolina,4691589,843860,18.0
South Dakota,824373,116843,14.2
Tennessee,6386663,1171307,18.3
Texas,26340247,4523708,17.2
Utah,2897762,339900,11.7
Vermont,601819,73149,12.2
Virginia,8080300,953395,11.8
Washington,6927889,913619,13.2
West Virginia,1792949,327764,18.3
Wisconsin,5603486,738270,13.2
Wyoming,570149,63774,11.2
