State,2015_Total_Pop,2015_Pop_Below_Pov,2015_Pct_Below_Pov
Alabama,4736333,876016,18.5
Alaska,720765,74532,10.3
Arizona,6671705,1159043,17.4
Arkansas,2887337,550508,19.1
California,38398057,5891678,15.3
Colorado,5339618,613549,11.5
Connecticut,3480932,366909,10.5
Delaware,920355,114360,12.4
District of Columbia,638027,110500,17.3
Florida,19850054,3116886,15.7
Georgia,9943145,1694988,17.0
Hawaii,1394121,147984,10.6
Idaho,1622116,245551,15.1
Illinois,12559422,1703258,13.6
Indiana,6417418,933181,14.5
Iowa,3021823,367414,12.2
Kansas,2830943,368879,13.0
Kentucky,4290022,794055,18.5
Louisiana,4541688,889946,19.6
Maine,1292996,172620,13.4
Maryland,5863290,570776,9.7
Massachusetts,6558724,752071,11.5
Michigan,9698396,1529645,15.8
Minnesota,5366594,546431,10.2
Mississippi,2896579,637128,22.0
Missouri,5901967,875495,14.8
Montana,1007727,147287,14.6
Nebraska,1842682,231321,12.6
Nevada,2850472,418243,14.7
New Hampshire,1288060,106046,8.2
New Jersey,8781575,946114,10.8
New Mexico,2044431,417834,20.4
New York,19283776,2970032,15.4
North Carolina,9790073,1607835,16.4
North Dakota,731354,80170,11.0
Ohio,11295340,1674415,14.8
Oklahoma,3795764,610828,16.1
Oregon,3952077,607029,15.4
Pennsylvania,12385716,1629995,13.2
Rhode Island,1016343,141035,13.9
South Carolina,4750144,790715,16.6
South Dakota,829644,114071,13.7
Tennessee,6440381,1077900,16.7
Texas,26846203,4255517,15.9
Utah,2947861,331854,11.3
Vermont,600659,61314,10.2
Virginia,8131328,909346,11.2
Washington,7036725,857801,12.2
West Virginia,1793096,321583,17.9
Wisconsin,5620223,677964,12.1
Wyoming,572319,63425,11.1
