State,2016_Total_Pop,2016_Pop_Below_Pov,2016_Pct_Below_Pov
Alabama,4741329,810231,17.1
Alaska,723968,71566,9.9
Arizona,6771098,1107464,16.4
Arkansas,2898630,499225,17.2
California,38513258,5525524,14.3
Colorado,5420327,598736,11.0
Connecticut,3469514,339128,9.8
Delaware,926864,108211,11.7
District of Columbia,647654,120308,18.6
Florida,20191342,2973512,14.7
Georgia,10040201,1603013,16.0
Hawaii,1389442,129569,9.3
Idaho,1652592,237445,14.4
Illinois,12502057,1621508,13.0
Indiana,6432804,906077,14.1
Iowa,3031338,356378,11.8
Kansas,2825864,342544,12.1
Kentucky,4298953,794060,18.5
Louisiana,4546017,918187,20.2
Maine,1295971,161749,12.5
Maryland,5875026,567715,9.7
Massachusetts,6574249,686597,10.4
Michigan,9702321,1451936,15.0
Minnesota,5396363,533276,9.9
Mississippi,2892894,602768,20.8
Missouri,5911040,826954,14.0
Montana,1018105,135638,13.3
Nebraska,1851069,211453,11.4
Nevada,2896888,399420,13.8
New Hampshire,1292255,94289,7.3
New Jersey,8769487,915913,10.4
New Mexico,2039449,404463,19.8
New York,19230198,2832824,14.7
North Carolina,9886033,1521880,15.4
North Dakota,731759,78464,10.7
Ohio,11287401,1645382,14.6
Oklahoma,3809431,620377,16.3
Oregon,4016520,536146,13.3
Pennsylvania,12368256,1592045,12.9
Rhode Island,1015892,129932,12.8
South Carolina,4820419,735960,15.3
South Dakota,837292,110962,13.3
Tennessee,6489032,1023177,15.8
Texas,27236443,4261337,15.6
Utah,3004148,306902,10.2
Vermont,600077,71329,11.9
Virginia,8158241,896440,11.0
Washington,7156306,805691,11.3
West Virginia,1779919,319063,17.9
Wisconsin,5628565,661565,11.8
Wyoming,571169,64663,11.3
