State,2017_Total_Pop,2017_Pop_Below_Pov,2017_Pct_Below_Pov
Alabama,4752560,802656,16.9
Alaska,720472,80012,11.1
Arizona,6856067,1018935,14.9
Arkansas,2916321,478365,16.4
California,38793027,5160208,13.3
Colorado,5483104,564312,10.3
Connecticut,3482584,334128,9.6
Delaware,934947,126986,13.6
District of Columbia,660642,109920,16.6
Florida,20569920,2889506,14.0
Georgia,10154747,1517702,14.9
Hawaii,1388550,132549,9.5
Idaho,1686491,216309,12.8
Illinois,12503720,1569753,12.6
Indiana,6463636,871247,13.5
Iowa,3044685,326636,10.7
Kansas,2827376,336487,11.9
Kentucky,4316917,744239,17.2
Louisiana,4553037,899039,19.7
Maine,1301216,144012,11.1
Maryland,5915309,549171,9.3
Massachusetts,6622444,692201,10.5
Michigan,9730205,1377766,14.2
Minnesota,5450582,517476,9.5
Mississippi,2889851,571219,19.8
Missouri,5928516,795732,13.4
Montana,1024513,127777,12.5
Nebraska,1865038,200909,10.8
Nevada,2954279,384120,13.0
New Hampshire,1298898,99966,7.7
New Jersey,8831200,882673,10.0
New Mexico,2044187,401755,19.7
New York,19337685,2722257,14.1
North Carolina,10009042,1471339,14.7
North Dakota,729355,75279,10.3
Ohio,11330762,1582931,14.0
Oklahoma,3814990,603864,15.8
Oregon,4064467,537974,13.2
Pennsylvania,12398112,1548720,12.5
Rhode Island,1018556,118367,11.6
South Carolina,4882720,751907,15.4
South Dakota,838991,109099,13.0
Tennessee,6555389,980284,15.0
Texas,27676343,4076905,14.7
Utah,3052633,296557,9.7
Vermont,599862,67841,11.3
Virginia,8221024,874483,10.6
Washington,7273713,802159,11.0
West Virginia,1762467,336301,19.1
Wisconsin,5645194,639564,11.3
Wyoming,565242,64054,11.3
