State,2013_Total_Pop,2013_Pop_Below_Pov,2013_Pct_Below_Pov
Alabama,4716105,883371,18.7
Alaska,718359,67016,9.3
Arizona,6477191,1206460,18.6
Arkansas,2873340,565469,19.7
California,37593091,6328824,16.8
Colorado,5151461,667446,13.0
Connecticut,3485353,373900,10.7
Delaware,900322,111327,12.4
District of Columbia,611788,115551,18.9
Florida,19129950,3253333,17.0
Georgia,9720914,1843768,19.0
Hawaii,1367662,148368,10.8
Idaho,1582911,246550,15.6
Illinois,12576680,1845393,14.7
Indiana,6367890,1015127,15.9
Iowa,2991670,379127,12.7
Kansas,2811722,393358,14.0
Kentucky,4266556,800635,18.8
Louisiana,4494989,888019,19.8
Maine,1293827,180639,14.0
Maryland,5788159,585571,10.1
Massachusetts,6456530,770513,11.9
Michigan,9669513,1648436,17.0
Minnesota,5292348,592422,11.2
Mississippi,2893768,695915,24.0
Missouri,5861009,931066,15.9
Montana,990603,163637,16.5
Nebraska,1815565,239433,13.2
Nevada,2750476,433576,15.8
New Hampshire,1281181,111495,8.7
New Jersey,8721010,998549,11.4
New Mexico,2045402,448461,21.9
New York,19133973,3055645,16.0
North Carolina,9588277,1715397,17.9
North Dakota,698199,82398,11.8
Ohio,11248753,1796942,16.0
Oklahoma,3735207,626906,16.8
Oregon,3852871,642138,16.7
Pennsylvania,12353256,1690405,13.7
Rhode Island,1010827,144446,14.3
South Carolina,4631801,860380,18.6
South Dakota,815049,115454,14.2
Tennessee,6335295,1126772,17.8
Texas,25834229,4530039,17.5
Utah,2851587,361181,12.7
Vermont,602538,74058,12.3
Virginia,8010544,938733,11.7
Washington,6836262,967282,14.1
West Virginia,1798266,332347,18.5
Wisconsin,5593197,755551,13.5
Wyoming,569307,62039,10.9
