State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,38590,29570,1808807,10,35010,31750,100593,4,92,15,1
Wyoming,41510,35020,245685,7,45360,42180,16072,6,39,10,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,88,18,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,77,13,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,326,45,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,85,11,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,49,12,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,8,0,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,16,5,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,225,40,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,108,26,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,19,4,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,85,10,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,33,0,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,206,27,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,118,16,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,76,73,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,69,9,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,111,16,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,54,14,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,20,3,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,71,18,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,146,23,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,70,9,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,106,12,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,68,13,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,36,0,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,139,26,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,30,5,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,54,7,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,6,0,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,81,16,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,38,10,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,38,5,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,182,37,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,161,23,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,94,21,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,47,0,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,221,39,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,9,0,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,69,10,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,36,7,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,138,30,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,461,89,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,41,7,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,107,14,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,12,0,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,104,9,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,91,10,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,95,10,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,33,5,0
