State,Total Population,Population Below Poverty,Percentage Below Poverty
Alabama,4752560,802656,16.9
Alaska,720472,80012,11.1
Arizona,6856067,1018935,14.9
Arkansas,2916321,478365,16.4
California,38793027,5160208,13.3
