State,Total Population,Population Below Poverty,Percentage Below Poverty
Alabama,4736333,876016,18.5
Alaska,720765,74532,10.3
Arizona,6671705,1159043,17.4
Arkansas,2887337,550508,19.1
California,38398057,5891678,15.3
