State,Total Population,Population MOE,Population Below Poverty,Poverty MOE,Percentage Below Poverty,Percentage MOE
Alabama,4736333,2309,876016,23918,18.5,0.5
Alaska,720765,857,74532,5835,10.3,0.8
Arizona,6671705,3550,1159043,29822,17.4,0.4
Arkansas,2887337,2988,550508,17473,19.1,0.6
California,38398057,6625,5891678,66827,15.3,0.2
