State,Total Population,Population MOE,Population Below Poverty,Poverty MOE,Percentage Below Poverty,Percentage MOE
Alabama,4741329,2442,810231,23417,17.1,0.5
Alaska,723968,1193,71566,6534,9.9,0.9
Arizona,6771098,3965,1107464,27786,16.4,0.4
Arkansas,2898630,2550,499225,17721,17.2,0.6
California,38513258,8112,5525524,66544,14.3,0.2
