State,Total Population,Population Below Poverty,Percentage Below Poverty
Alabama,4741329,810231,17.1
Alaska,723968,71566,9.9
Arizona,6771098,1107464,16.4
Arkansas,2898630,499225,17.2
California,38513258,5525524,14.3
