State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,40240,30390,1891629,10,37290,34340,91112,3,92,15,18.7
Wyoming,43770,36990,258942,5,46730,44050,15314,7,32,0,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,63,13,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,95,13,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,396,61,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,65,16,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,29,8,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,11,0,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,25,2,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,117,23,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,11,3,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,72,12,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,30,4,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,176,28,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,127,15,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,55,3,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,86,16,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,114,17,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,57,14,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,19,4,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,79,18,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,135,19,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,69,11,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,118,19,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,68,6,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,28,3,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,109,21,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,56,11,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,39,7,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,14,4,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,102,15,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,54,10,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,42,7,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,178,40,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,149,19,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,92,23,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,49,9,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,183,26,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,10,0,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,75,20,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,20,5,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,95,17,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,508,116,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,37,8,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,128,28,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,7,0,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,56,7,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,97,11,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,61,7,10.9
Wyoming,43770,36990,258942,5,46730,44050,15314,7,26,0,10.9
