State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,39180,29850,1781885,10,35530,32520,86771,9,92,15,1
Wyoming,42510,36140,250471,7,46010,43230,15238,5,39,3,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,93,14,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,69,9,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,390,56,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,92,17,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,37,7,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,10,0,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,9,4,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,111,24,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,26,3,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,78,11,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,37,0,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,177,21,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,125,19,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,78,7,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,93,9,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,111,22,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,68,16,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,26,0,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,71,13,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,141,23,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,60,16,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,132,18,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,63,9,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,49,5,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,148,32,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,44,9,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,39,4,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,9,0,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,99,21,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,52,10,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,38,0,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,206,30,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,155,23,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,86,15,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,58,6,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,186,30,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,7,4,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,81,13,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,31,4,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,120,18,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,433,83,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,39,6,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,127,16,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,8,0,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,60,6,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,89,7,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,43,7,0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,32,0,0
