State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,39180,29850,1781885,10,35530,32520,86771,9,92,15,19.0
Wyoming,42510,36140,250471,7,46010,43230,15238,5,39,3,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,93,14,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,69,9,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,390,56,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,92,17,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,37,7,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,10,0,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,9,4,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,111,24,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,26,3,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,78,11,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,37,0,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,177,21,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,125,19,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,78,7,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,93,9,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,111,22,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,68,16,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,26,0,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,71,13,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,141,23,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,60,16,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,132,18,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,63,9,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,49,5,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,148,32,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,44,9,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,39,4,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,9,0,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,99,21,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,52,10,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,38,0,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,206,30,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,155,23,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,86,15,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,58,6,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,186,30,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,7,4,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,81,13,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,31,4,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,120,18,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,433,83,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,39,6,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,127,16,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,8,0,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,60,6,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,89,7,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,43,7,11.3
Wyoming,42510,36140,250471,7,46010,43230,15238,5,32,0,11.3
