State,Total_Fatalities,Construction_Fatalities
Alabama,92.0,15.0
Wyoming,39.0,3.0
Wyoming,93.0,14.0
Wyoming,69.0,9.0
Wyoming,390.0,56.0
Wyoming,92.0,17.0
Wyoming,37.0,7.0
Wyoming,10.0,0.0
Wyoming,9.0,4.0
Unnamed: 2,226.0,41.0
Wyoming,111.0,24.0
Wyoming,26.0,3.0
Wyoming,78.0,11.0
Wyoming,37.0,0.0
Wyoming,177.0,21.0
Wyoming,125.0,19.0
Wyoming,78.0,7.0
Wyoming,93.0,9.0
Wyoming,111.0,22.0
Wyoming,68.0,16.0
Wyoming,26.0,0.0
Wyoming,71.0,13.0
Wyoming,141.0,23.0
Wyoming,60.0,16.0
Wyoming,132.0,18.0
Wyoming,63.0,9.0
Wyoming,49.0,5.0
Wyoming,148.0,32.0
Wyoming,44.0,9.0
Wyoming,39.0,4.0
Wyoming,9.0,0.0
Wyoming,99.0,21.0
Wyoming,52.0,10.0
Wyoming,38.0,0.0
Wyoming,206.0,30.0
Wyoming,155.0,23.0
Wyoming,86.0,15.0
Wyoming,58.0,6.0
Wyoming,186.0,30.0
Wyoming,7.0,4.0
Wyoming,81.0,13.0
Wyoming,31.0,4.0
Wyoming,120.0,18.0
Wyoming,433.0,83.0
Wyoming,39.0,6.0
Wyoming,127.0,16.0
Wyoming,8.0,0.0
Wyoming,60.0,6.0
Wyoming,89.0,7.0
Wyoming,43.0,7.0
Wyoming,32.0,0.0
