State,Total_Fatalities,Construction_Fatalities
Alabama,92.0,15.0
Wyoming,33.0,0.0
Wyoming,76.0,9.0
Wyoming,90.0,11.0
Wyoming,376.0,69.0
Wyoming,77.0,19.0
Wyoming,35.0,4.0
Wyoming,10.0,0.0
Wyoming,13.0,6.0
Unnamed: 8,299.0,75.0
Wyoming,194.0,34.0
Wyoming,20.0,5.0
Wyoming,72.0,10.0
Wyoming,37.0,5.0
Wyoming,163.0,26.0
Wyoming,138.0,14.0
Wyoming,72.0,0.0
Wyoming,70.0,11.0
Wyoming,117.0,23.0
Wyoming,108.0,26.0
Wyoming,18.0,18.0
Wyoming,87.0,25.0
Wyoming,153.0,31.0
Wyoming,101.0,11.0
Wyoming,125.0,10.0
Wyoming,90.0,13.0
Wyoming,32.0,6.0
Wyoming,183.0,36.0
Wyoming,38.0,5.0
Wyoming,35.0,0.0
Wyoming,11.0,7.0
Wyoming,69.0,14.0
Wyoming,44.0,0.0
Wyoming,32.0,5.0
Wyoming,313.0,69.0
Wyoming,174.0,32.0
Wyoming,91.0,17.0
Wyoming,60.0,8.0
Wyoming,172.0,31.0
Wyoming,8.0,0.0
Wyoming,88.0,21.0
Wyoming,30.0,6.0
Wyoming,128.0,29.0
Wyoming,534.0,129.0
Wyoming,43.0,7.0
Wyoming,118.0,27.0
Wyoming,22.0,4.0
Wyoming,84.0,15.0
Wyoming,106.0,17.0
Wyoming,51.0,6.0
Wyoming,20.0,0.0
