State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,43170,32800,1868005,7,40770,37380,112835,7,92,15,1
Wyoming,47650,39120,242840,6,51430,47870,14102,5,33,0,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,76,9,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,90,11,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,376,69,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,77,19,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,35,4,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,10,0,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,13,6,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,194,34,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,20,5,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,72,10,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,37,5,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,163,26,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,138,14,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,72,0,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,70,11,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,117,23,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,108,26,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,18,18,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,87,25,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,153,31,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,101,11,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,125,10,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,90,13,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,32,6,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,183,36,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,38,5,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,35,0,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,11,7,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,69,14,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,44,0,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,32,5,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,313,69,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,174,32,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,91,17,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,60,8,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,172,31,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,8,0,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,88,21,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,30,6,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,128,29,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,534,129,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,43,7,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,118,27,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,22,4,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,84,15,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,106,17,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,51,6,0
Wyoming,47650,39120,242840,6,51430,47870,14102,5,20,0,0
