State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,43170,32800,1868005,7,40770,37380,112835,7,92,18,16.9
Alaska,57750,47560,304027,18,66600,64550,16584,23,33,0,11.1
Arizona,48160,36270,2804949,4,44020,40490,163853,1,90,11,14.9
Arkansas,40530,30810,1207917,5,37660,34710,60846,2,76,9,16.4
California,57190,40980,16063818,15,58010,53440,882269,17,376,69,13.3
Colorado,54050,40880,2500952,9,48040,44950,165092,10,77,19,10.3
Connecticut,59410,45870,1645268,17,56790,55020,81888,14,35,4,9.6
Delaware,52200,38850,421340,10,50500,47290,29391,14,10,0,13.6
Georgia,47200,35040,4339237,4,41690,37340,245905,5,194,34,14.9
Hawaii,52050,41650,604843,21,67450,64300,44629,35,20,5,9.5
Idaho,42240,33250,722904,4,41650,37970,43778,5,37,5,12.8
Illinois,52410,38870,5521282,15,65390,65620,213385,41,163,26,12.6
Indiana,43950,34590,2988239,8,49410,45480,134487,16,138,14,13.5
Iowa,44730,35930,1474981,7,45550,42880,77005,16,72,10,10.7
Kansas,44570,35150,1296301,7,44910,39910,76455,14,72,0,11.9
Kentucky,42410,33790,1808833,9,45740,42300,104199,16,70,11,17.2
Louisiana,41590,32490,1780038,4,45250,41980,137486,5,117,23,19.7
Maine,45300,36210,576939,11,41980,39740,28457,0,18,18,11.1
Maryland,57270,43840,2768871,10,49350,45210,167247,9,87,25,9.3
Massachusetts,62110,47440,3232932,12,61730,57450,160807,16,108,26,10.5
Michigan,48300,36650,4230158,15,49930,47140,177380,25,153,31,14.2
Minnesota,52730,41260,2695548,15,57650,55690,150582,31,101,11,9.5
Mississippi,38910,30070,1108613,5,39660,35910,50447,2,90,13,19.8
Missouri,45520,35050,2618301,8,53010,49840,178571,32,125,10,13.4
Montana,42400,33840,419486,11,48950,46240,25970,12,32,6,12.5
Nebraska,45530,36130,859328,8,43170,39230,47459,7,35,0,10.8
Nevada,45040,34930,1290685,12,50280,46500,97679,17,32,5,13.0
New Hampshire,51040,38900,642225,11,47250,44730,32980,12,11,7,7.7
New Jersey,56970,42500,3897617,16,60710,56200,175906,29,69,14,10.0
New Mexico,44840,33450,769281,6,43270,38570,52152,5,44,0,19.7
New York,60100,43690,8478589,23,64420,57550,455890,24,313,69,14.1
North Carolina,46080,34750,4302258,3,39940,37060,286018,0,183,36,14.7
North Dakota,48130,40040,356248,5,53660,50880,22280,6,38,5,10.3
Ohio,46950,36500,5067870,12,48740,46500,244352,22,174,32,14.0
Oklahoma,43340,33630,1534322,5,43470,38750,89033,6,91,17,15.8
Oregon,51010,38840,1761898,14,52240,47950,77673,19,60,8,13.2
Pennsylvania,48760,37540,5538669,12,50840,46430,308584,21,172,31,12.5
Rhode Island,53110,40450,485379,16,53710,50810,18087,21,8,0,11.6
South Carolina,42240,32780,1989387,2,39820,36550,138348,2,88,21,15.4
South Dakota,40770,32340,379739,5,39320,36910,23518,4,30,6,13.0
Tennessee,43550,33860,2725434,5,40610,37400,162850,6,128,29,15.0
Texas,48700,36170,11626899,4,43600,38420,908363,3,534,129,14.7
Utah,46460,35650,1373911,3,43630,41280,85900,5,43,7,9.7
Vermont,48840,38640,288308,11,45340,41860,13349,6,22,4,11.3
Virginia,53980,39800,3806256,4,44610,40890,202553,5,118,27,10.6
Washington,57480,44440,3109830,18,58450,54060,175764,20,84,15,11.0
West Virginia,41400,31540,683183,11,47800,43080,32137,21,51,6,19.1
Wisconsin,46270,37040,2780465,8,52700,49570,111489,28,106,17,11.3
Wyoming,47650,39120,242840,6,51430,47870,14102,5,20,0,11.3
