Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,206.0,177.0,146.0,176.0,164.0,172.0,171.0,163.0
Construction,27.0,21.0,16.0,28.0,28.0,38.0,39.0,26.0
