Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,33.0,37.0,19.0,30.0,34.0,36.0,30.0,37.0
Construction,0.0,0.0,0.0,4.0,6.0,3.0,6.0,5.0
