Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,118.0,125.0,115.0,127.0,130.0,115.0,137.0,138.0
Construction,16.0,19.0,20.0,15.0,18.0,11.0,14.0,14.0
