Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,54.0,68.0,44.0,57.0,55.0,69.0,109.0,108.0
Construction,14.0,16.0,11.0,14.0,10.0,22.0,29.0,26.0
