Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,36.0,49.0,34.0,28.0,28.0,36.0,38.0,32.0
Construction,0.0,5.0,3.0,3.0,3.0,4.0,10.0,6.0
