Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,30.0,44.0,65.0,56.0,38.0,47.0,28.0,38.0
Construction,5.0,9.0,25.0,11.0,10.0,7.0,0.0,5.0
