Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,94.0,86.0,97.0,92.0,98.0,91.0,92.0,91.0
Construction,21.0,15.0,12.0,23.0,20.0,20.0,18.0,17.0
