Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,76.0,78.0,76.0,55.0,73.0,60.0,74.0,72.0
Men,73.0,7.0,47.0,3.0,2.0,0.0,13.0,0.0
