Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,41.0,39.0,39.0,37.0,54.0,42.0,44.0,43.0
Construction,7.0,6.0,6.0,8.0,6.0,12.0,11.0,7.0
