Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,182.0,206.0,202.0,178.0,241.0,236.0,272.0,313.0
Construction,37.0,30.0,38.0,40.0,50.0,53.0,71.0,69.0
