Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,81.0,99.0,92.0,102.0,87.0,97.0,101.0,69.0
Construction,16.0,21.0,14.0,15.0,23.0,22.0,20.0,14.0
