Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,91.0,89.0,114.0,97.0,99.0,104.0,105.0,106.0
Construction,10.0,7.0,11.0,11.0,14.0,10.0,12.0,17.0
