Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,326.0,390.0,375.0,396.0,344.0,388.0,376.0,376.0
Construction,45.0,56.0,58.0,61.0,49.0,75.0,55.0,69.0
