Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,104.0,60.0,67.0,56.0,88.0,70.0,78.0,84.0
Construction,9.0,6.0,9.0,7.0,17.0,9.0,14.0,15.0
