Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,111.0,111.0,116.0,114.0,120.0,112.0,95.0,117.0
Construction,16.0,22.0,24.0,17.0,19.0,28.0,16.0,23.0
