Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,461.0,433.0,536.0,508.0,531.0,527.0,545.0,534.0
Construction,89.0,83.0,105.0,116.0,107.0,124.0,133.0,129.0
