Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,161.0,155.0,161.0,149.0,185.0,202.0,164.0,174.0
Construction,23.0,23.0,29.0,19.0,38.0,37.0,23.0,32.0
