Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,85.0,78.0,97.0,72.0,91.0,60.0,76.0,72.0
Construction,10.0,11.0,14.0,12.0,20.0,12.0,13.0,10.0
