Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,107.0,127.0,149.0,128.0,116.0,106.0,153.0,118.0
Construction,14.0,16.0,34.0,28.0,24.0,25.0,24.0,27.0
