Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,38.0,38.0,42.0,42.0,40.0,44.0,54.0,32.0
Construction,5.0,0.0,0.0,7.0,6.0,9.0,5.0,5.0
