Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,146.0,141.0,137.0,135.0,143.0,134.0,162.0,153.0
Construction,23.0,23.0,19.0,19.0,23.0,22.0,40.0,31.0
