Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,54.0,39.0,48.0,39.0,55.0,60.0,50.0,35.0
Construction,7.0,4.0,9.0,7.0,9.0,5.0,6.0,0.0
