Index,2010_Total,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Total,225.0,226.0,218.0,239.0,228.0,272.0,309.0,299.0
Construction,40.0,41.0,55.0,54.0,63.0,66.0,76.0,75.0
