Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,108.0,111.0,101.0,117.0,152.0,180.0,171.0,194.0
Construction,26.0,24.0,17.0,23.0,32.0,38.0,35.0,34.0
