Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,70.0,60.0,70.0,69.0,62.0,74.0,92.0,101.0
Construction,9.0,16.0,13.0,11.0,7.0,9.0,15.0,11.0
