Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,139.0,148.0,146.0,109.0,137.0,150.0,174.0,183.0
Construction,26.0,32.0,18.0,21.0,35.0,30.0,30.0,36.0
