Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,95.0,43.0,49.0,61.0,38.0,35.0,47.0,51.0
Construction,10.0,7.0,4.0,7.0,5.0,6.0,6.0,6.0
