Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,49.0,37.0,36.0,29.0,35.0,44.0,28.0,35.0
Construction,12.0,7.0,8.0,8.0,7.0,13.0,8.0,4.0
