Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,36.0,31.0,31.0,20.0,29.0,21.0,31.0,30.0
Construction,7.0,4.0,7.0,5.0,6.0,0.0,11.0,6.0
