Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,69.0,93.0,91.0,86.0,82.0,99.0,92.0,70.0
Construction,9.0,9.0,16.0,16.0,13.0,12.0,9.0,11.0
