Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,71.0,71.0,72.0,79.0,74.0,69.0,92.0,87.0
Construction,18.0,13.0,17.0,18.0,16.0,18.0,20.0,25.0
