Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,77.0,69.0,60.0,95.0,88.0,69.0,77.0,90.0
Construction,13.0,9.0,7.0,13.0,17.0,12.0,15.0,11.0
