Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Construction,15.0,8.0,14.0,20.0,11.0,14.0,20.0,18.0
