Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,69.0,81.0,63.0,75.0,64.0,117.0,96.0,88.0
Construction,10.0,13.0,12.0,20.0,15.0,24.0,25.0,21.0
