Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,221.0,186.0,194.0,183.0,179.0,173.0,163.0,172.0
Construction,39.0,30.0,29.0,26.0,40.0,35.0,39.0,31.0
