Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,68.0,63.0,63.0,68.0,75.0,77.0,71.0,90.0
Construction,13.0,9.0,14.0,6.0,12.0,13.0,9.0,13.0
