Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,16.0,9.0,11.0,25.0,11.0,8.0,5.0,13.0
Construction,5.0,4.0,4.0,2.0,3.0,3.0,0.0,6.0
