Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,33.0,32.0,35.0,26.0,37.0,34.0,34.0,20.0
Construction,5.0,0.0,3.0,0.0,6.0,4.0,3.0,0.0
