Index,2010_Total,2011_Total,2012_Total,2013_Total,2014_Total,2015_Total,2016_Total,2017_Total
Total,138.0,120.0,101.0,95.0,127.0,112.0,122.0,128.0
Construction,30.0,18.0,18.0,17.0,21.0,16.0,28.0,29.0
