State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
Alabama,All,"1,883,310",20.15,15.17,"41,920","31,550"
Alabama,Construction/Extraction,"74,640",18.74,17.17,"38,990","35,710"
Alaska,All,"327,250",26.81,22.32,"55,760","46,420"
Alaska,Construction/Extraction,"23,780",31.39,30.55,"65,300","63,530"
Arizona,All,"2,587,070",21.78,16.67,"45,310","34,680"
Arizona,Construction/Extraction,"105,840",20.57,18.55,"42,770","38,580"
Arkansas,All,"1,176,130",18.53,14.14,"38,540","29,420"
Arkansas,Construction/Extraction,"45,820",17.36,15.97,"36,110","33,220"
California,All,"15,496,600",26.57,19.15,"55,260","39,830"
California,Construction/Extraction,"559,520",26.56,24.60,"55,240","51,160"
Colorado,All,"2,451,490",24.61,18.66,"51,180","38,800"
Colorado,Construction/Extraction,"129,730",21.67,19.99,"45,080","41,570"
Connecticut,All,"1,659,430",27.06,21.07,"56,280","43,830"
Connecticut,Construction/Extraction,"50,000",25.87,25.16,"53,810","52,340"
Delaware,All,"433,840",24.18,18.15,"50,300","37,750"
Delaware,Construction/Extraction,"15,240",22.68,21.05,"47,180","43,790"
District of Columbia,All,"676,060",38.54,31.75,"80,150","66,040"
District of Columbia,Construction/Extraction,"12,590",25.58,23.91,"53,210","49,720"
Florida,All,"7,925,300",20.60,15.29,"42,860","31,810"
Florida,Construction/Extraction,"318,230",18.03,16.41,"37,500","34,130"
Georgia,All,"4,107,960",21.84,16.07,"45,420","33,430"
Georgia,Construction/Extraction,"136,170",18.53,16.87,"38,540","35,080"
Hawaii,All,"619,960",22.95,18.63,"47,740","38,750"
Hawaii,Construction/Extraction,"29,680",29.78,29.43,"61,930","61,210"
Idaho,All,"642,700",19.62,15.32,"40,810","31,860"
Idaho,Construction/Extraction,"32,890",19.17,17.66,"39,870","36,720"
Illinois,All,"5,852,710",24.02,17.94,"49,970","37,320"
Illinois,Construction/Extraction,"178,580",29.36,29.40,"61,070","61,160"
Indiana,All,"2,947,380",20.23,15.82,"42,070","32,910"
Indiana,Construction/Extraction,"111,770",23.57,21.79,"49,030","45,320"
Iowa,All,"1,526,950",20.12,16.18,"41,840","33,650"
Iowa,Construction/Extraction,"66,820",20.91,19.50,"43,500","40,560"
Kansas,All,"1,371,630",20.64,16.20,"42,930","33,700"
Kansas,Construction/Extraction,"58,800",20.81,18.42,"43,290","38,310"
Kentucky,All,"1,838,220",19.65,15.55,"40,880","32,340"
Kentucky,Construction/Extraction,"69,020",20.58,18.92,"42,800","39,360"
Louisiana,All,"1,939,300",19.62,15.38,"40,810","31,980"
Louisiana,Construction/Extraction,"122,080",20.30,18.62,"42,230","38,730"
Maine,All,"591,520",20.80,16.69,"43,260","34,710"
Maine,Construction/Extraction,"24,660",19.46,18.48,"40,470","38,450"
Maryland,All,"2,596,630",26.27,20.13,"54,630","41,860"
Maryland,Construction/Extraction,"112,200",22.74,20.73,"47,290","43,120"
Massachusetts,All,"3,396,840",28.37,21.91,"59,010","45,580"
Massachusetts,Construction/Extraction,"110,710",28.67,27.04,"59,630","56,240"
Michigan,All,"4,146,600",22.26,17.02,"46,310","35,400"
Michigan,Construction/Extraction,"122,660",23.29,21.97,"48,440","45,690"
Minnesota,All,"2,772,240",23.91,18.69,"49,740","38,870"
Minnesota,Construction/Extraction,"95,560",25.97,25.13,"54,010","52,270"
Mississippi,All,"1,106,550",18.08,13.94,"37,620","29,000"
Mississippi,Construction/Extraction,"45,160",18.28,16.87,"38,020","35,100"
Missouri,All,"2,712,240",20.98,16.05,"43,640","33,380"
Missouri,Construction/Extraction,"99,140",24.08,22.60,"50,080","47,010"
Montana,All,"447,180",19.53,15.37,"40,620","31,970"
Montana,Construction/Extraction,"28,340",22.71,21.49,"47,230","44,710"
Nebraska,All,"953,710",20.49,16.27,"42,630","33,840"
Nebraska,Construction/Extraction,"41,490",19.48,17.75,"40,520","36,920"
Nevada,All,"1,232,800",20.58,16.20,"42,800","33,700"
Nevada,Construction/Extraction,"59,210",23.58,21.89,"49,040","45,520"
New Hampshire,All,"635,360",23.42,17.92,"48,710","37,280"
New Hampshire,Construction/Extraction,"19,750",21.37,20.31,"44,450","42,240"
New Jersey,All,"3,906,800",26.42,19.86,"54,950","41,320"
New Jersey,Construction/Extraction,"115,820",28.20,26.28,"58,650","54,670"
New Mexico,All,"798,150",20.76,15.54,"43,170","32,320"
New Mexico,Construction/Extraction,"52,990",19.72,17.63,"41,020","36,660"
New York,All,"8,984,890",27.42,20.00,"57,030","41,600"
New York,Construction/Extraction,"324,000",29.62,26.36,"61,610","54,820"
North Carolina,All,"4,125,070",21.24,15.91,"44,170","33,100"
North Carolina,Construction/Extraction,"138,980",18.04,16.72,"37,520","34,780"
