State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
North Dakota,All,"447,820",21.95,18.35,"45,660","38,170"
North Dakota,Construction/Extraction,"46,770",25.04,22.76,"52,080","47,340"
Ohio,All,"5,280,850",21.52,16.84,"44,750","35,030"
Ohio,Construction/Extraction,"176,140",22.43,21.39,"46,650","44,490"
Oklahoma,All,"1,597,130",20.11,15.59,"41,820","32,430"
Oklahoma,Construction/Extraction,"89,070",19.61,17.84,"40,780","37,110"
Oregon,All,"1,735,220",23.12,17.83,"48,100","37,080"
Oregon,Construction/Extraction,"67,060",23.92,22.00,"49,750","45,770"
Pennsylvania,All,"5,709,480",22.38,17.38,"46,550","36,150"
Pennsylvania,Construction/Extraction,"221,040",23.51,21.45,"48,900","44,610"
Rhode Island,All,"471,290",24.41,18.77,"50,780","39,050"
Rhode Island,Construction/Extraction,"15,780",23.58,22.28,"49,050","46,350"
South Carolina,All,"1,928,140",19.51,15.04,"40,580","31,280"
South Carolina,Construction/Extraction,"68,000",18.45,16.99,"38,370","35,340"
South Dakota,All,"413,260",18.66,14.80,"38,820","30,780"
South Dakota,Construction/Extraction,"21,900",17.86,16.57,"37,140","34,460"
Tennessee,All,"2,814,230",19.85,15.30,"41,300","31,820"
Tennessee,Construction/Extraction,"90,110",18.74,17.15,"38,990","35,660"
Texas,All,"11,572,540",22.38,16.61,"46,560","34,550"
Texas,Construction/Extraction,"594,100",19.99,17.46,"41,590","36,320"
Utah,All,"1,324,460",21.22,16.34,"44,130","33,990"
Utah,Construction/Extraction,"76,040",20.06,18.39,"41,730","38,250"
Vermont,All,"303,550",22.15,17.81,"46,060","37,040"
Vermont,Construction/Extraction,"14,890",20.48,19.42,"42,600","40,390"
Virginia,All,"3,682,450",24.84,18.36,"51,670","38,180"
Virginia,Construction/Extraction,"156,160",20.36,18.77,"42,360","39,050"
Washington,All,"2,983,930",25.97,20.28,"54,010","42,190"
Washington,Construction/Extraction,"133,380",26.83,25.23,"55,810","52,480"
West Virginia,All,"707,000",18.80,14.54,"39,100","30,240"
West Virginia,Construction/Extraction,"47,600",21.28,19.12,"44,260","39,770"
Wisconsin,All,"2,771,600",21.12,16.88,"43,930","35,110"
Wisconsin,Construction/Extraction,"96,220",24.28,22.88,"50,510","47,590"
Wyoming,All,"283,830",22.04,18.41,"45,850","38,280"
Wyoming,Construction/Extraction,"31,720",23.87,22.37,"49,660","46,530"
