State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
Alabama,All,"1,912,990",20.44,15.43,"42,510","32,100"
Alabama,Construction/Extraction,"73,740",19.23,17.56,"39,990","36,520"
Alaska,All,"323,500",27.26,22.68,"56,710","47,170"
Alaska,Construction/Extraction,"21,790",32.31,31.34,"67,210","65,180"
Arizona,All,"2,652,990",22.26,17.05,"46,290","35,470"
Arizona,Construction/Extraction,"106,930",21.06,19.24,"43,800","40,020"
Arkansas,All,"1,191,320",19.03,14.48,"39,590","30,130"
Arkansas,Construction/Extraction,"46,470",17.53,16.17,"36,450","33,630"
California,All,"15,966,580",27.33,19.67,"56,840","40,920"
California,Construction/Extraction,"601,680",27.29,25.13,"56,770","52,280"
Colorado,All,"2,507,680",25.34,19.09,"52,710","39,710"
Colorado,Construction/Extraction,"130,190",22.28,20.68,"46,340","43,010"
Connecticut,All,"1,666,280",27.87,21.68,"57,960","45,090"
Connecticut,Construction/Extraction,"49,660",26.75,25.99,"55,650","54,050"
Delaware,All,"440,760",24.48,18.25,"50,930","37,960"
Delaware,Construction/Extraction,"14,400",23.44,21.83,"48,760","45,410"
District of Columbia,All,"702,380",39.88,32.63,"82,950","67,870"
District of Columbia,Construction/Extraction,"13,690",26.38,24.84,"54,870","51,670"
Florida,All,"8,222,030",21.18,15.77,"44,050","32,790"
Florida,Construction/Extraction,"355,120",18.75,17.08,"38,990","35,530"
Georgia,All,"4,214,410",22.38,16.51,"46,540","34,330"
Georgia,Construction/Extraction,"138,550",19.49,17.71,"40,540","36,830"
Hawaii,All,"632,120",23.76,19.24,"49,430","40,030"
Hawaii,Construction/Extraction,"33,560",31.32,30.87,"65,140","64,210"
Idaho,All,"663,490",20.15,15.77,"41,910","32,800"
Idaho,Construction/Extraction,"36,140",19.72,18.14,"41,010","37,740"
Illinois,All,"5,903,820",24.76,18.40,"51,500","38,270"
Illinois,Construction/Extraction,"175,450",30.96,31.43,"64,400","65,380"
Indiana,All,"2,991,260",20.64,16.25,"42,940","33,790"
Indiana,Construction/Extraction,"112,860",23.20,21.47,"48,260","44,660"
Iowa,All,"1,534,910",20.93,16.72,"43,540","34,790"
