State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
Iowa,Construction/Extraction,"68,820",21.27,19.87,"44,240","41,330"
Kansas,All,"1,374,180",21.13,16.57,"43,950","34,460"
Kansas,Construction/Extraction,"58,290",21.32,19.00,"44,340","39,520"
Kentucky,All,"1,869,650",20.08,15.96,"41,760","33,190"
Kentucky,Construction/Extraction,"70,320",21.31,19.43,"44,330","40,410"
Louisiana,All,"1,922,170",19.84,15.43,"41,260","32,080"
Louisiana,Construction/Extraction,"116,700",21.23,19.51,"44,160","40,580"
Maine,All,"596,390",21.24,17.01,"44,180","35,380"
Maine,Construction/Extraction,"25,570",19.79,18.73,"41,160","38,970"
Maryland,All,"2,640,900",26.98,20.68,"56,120","43,010"
Maryland,Construction/Extraction,"115,570",23.33,21.34,"48,520","44,380"
Massachusetts,All,"3,459,910",29.25,22.45,"60,840","46,690"
Massachusetts,Construction/Extraction,"117,680",29.44,27.54,"61,240","57,280"
Michigan,All,"4,212,090",22.76,17.32,"47,350","36,030"
Michigan,Construction/Extraction,"129,880",23.45,22.20,"48,780","46,170"
Minnesota,All,"2,810,400",24.68,19.28,"51,330","40,100"
Minnesota,Construction/Extraction,"98,730",26.94,26.05,"56,040","54,190"
Mississippi,All,"1,117,280",18.41,14.22,"38,300","29,590"
Mississippi,Construction/Extraction,"42,020",18.84,17.26,"39,190","35,900"
Missouri,All,"2,757,850",21.45,16.46,"44,620","34,230"
Missouri,Construction/Extraction,"102,120",24.66,23.10,"51,290","48,050"
Montana,All,"454,740",19.92,15.75,"41,440","32,750"
Montana,Construction/Extraction,"28,050",22.69,21.58,"47,190","44,890"
Nebraska,All,"968,000",21.24,16.77,"44,170","34,890"
Nebraska,Construction/Extraction,"43,050",20.11,18.36,"41,830","38,180"
Nevada,All,"1,270,930",21.17,16.59,"44,030","34,510"
Nevada,Construction/Extraction,"64,010",23.95,22.08,"49,810","45,930"
New Hampshire,All,"645,050",24.13,18.40,"50,180","38,270"
New Hampshire,Construction/Extraction,"20,500",22.09,20.93,"45,950","43,530"
New Jersey,All,"3,955,350",26.94,20.17,"56,030","41,950"
New Jersey,Construction/Extraction,"119,340",28.89,26.73,"60,100","55,590"
New Mexico,All,"805,440",21.23,15.82,"44,160","32,900"
New Mexico,Construction/Extraction,"49,240",20.09,17.99,"41,780","37,420"
New York,All,"9,097,650",28.32,20.56,"58,910","42,760"
New York,Construction/Extraction,"328,820",30.27,26.85,"62,960","55,850"
North Carolina,All,"4,231,020",21.77,16.31,"45,280","33,920"
North Carolina,Construction/Extraction,"147,430",18.59,17.25,"38,660","35,890"
North Dakota,All,"425,200",22.66,18.83,"47,130","39,160"
North Dakota,Construction/Extraction,"35,650",25.53,23.68,"53,100","49,260"
Ohio,All,"5,337,890",22.08,17.19,"45,930","35,760"
Ohio,Construction/Extraction,"180,550",22.95,21.89,"47,730","45,530"
Oklahoma,All,"1,586,890",20.56,15.93,"42,760","33,140"
Oklahoma,Construction/Extraction,"83,160",20.40,18.29,"42,440","38,050"
Oregon,All,"1,790,940",23.90,18.26,"49,710","37,990"
Oregon,Construction/Extraction,"72,580",24.43,22.45,"50,820","46,690"
Pennsylvania,All,"5,747,020",22.85,17.63,"47,540","36,680"
Pennsylvania,Construction/Extraction,"217,720",23.85,21.82,"49,610","45,380"
Rhode Island,All,"475,190",24.96,19.10,"51,920","39,730"
Rhode Island,Construction/Extraction,"16,000",24.89,23.12,"51,780","48,090"
South Carolina,All,"1,979,820",19.97,15.45,"41,530","32,140"
South Carolina,Construction/Extraction,"73,560",18.73,17.19,"38,950","35,760"
South Dakota,All,"417,520",19.27,15.19,"40,070","31,590"
South Dakota,Construction/Extraction,"21,940",18.42,17.13,"38,300","35,620"
Tennessee,All,"2,893,040",20.36,15.77,"42,350","32,800"
Tennessee,Construction/Extraction,"90,750",19.23,17.61,"40,000","36,620"
Texas,All,"11,745,250",22.97,17.06,"47,770","35,480"
Texas,Construction/Extraction,"579,760",20.48,17.96,"42,590","37,350"
Utah,All,"1,374,900",21.87,16.83,"45,490","35,010"
Utah,Construction/Extraction,"79,510",20.59,19.19,"42,830","39,920"
Vermont,All,"304,670",22.90,18.23,"47,620","37,920"
Vermont,Construction/Extraction,"14,600",21.25,20.01,"44,200","41,620"
Virginia,All,"3,760,550",25.53,18.78,"53,090","39,070"
Virginia,Construction/Extraction,"157,280",21.03,19.35,"43,740","40,240"
Washington,All,"3,067,110",26.83,20.87,"55,810","43,400"
Washington,Construction/Extraction,"140,250",27.45,25.58,"57,090","53,200"
West Virginia,All,"697,440",19.35,14.79,"40,250","30,760"
West Virginia,Construction/Extraction,"39,960",22.08,19.84,"45,930","41,270"
Wisconsin,All,"2,805,010",21.75,17.43,"45,240","36,250"
Wisconsin,Construction/Extraction,"97,890",24.81,23.37,"51,600","48,610"
Wyoming,All,"276,120",22.52,18.61,"46,840","38,710"
Wyoming,Construction/Extraction,"27,890",24.49,22.88,"50,950","47,590"
