State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
Maryland,All,"2,557,510",25.70,19.63,"53,470","40,830"
Maryland,Construction/Extraction,"109,570",22.25,20.17,"46,280","41,960"
Massachusetts,All,"3,322,500",27.70,21.48,"57,610","44,670"
Massachusetts,Construction/Extraction,"104,620",27.89,26.45,"58,010","55,010"
Michigan,All,"4,073,730",21.70,16.70,"45,140","34,740"
Michigan,Construction/Extraction,"119,030",22.85,21.52,"47,520","44,770"
Minnesota,All,"2,730,020",23.23,18.30,"48,310","38,070"
Minnesota,Construction/Extraction,"91,240",25.46,24.55,"52,950","51,070"
Mississippi,All,"1,094,070",17.67,13.76,"36,750","28,630"
Mississippi,Construction/Extraction,"48,800",17.81,16.42,"37,050","34,140"
Missouri,All,"2,673,640",20.57,15.76,"42,790","32,790"
Missouri,Construction/Extraction,"97,280",23.65,22.43,"49,190","46,650"
Montana,All,"443,330",19.17,15.15,"39,880","31,520"
Montana,Construction/Extraction,"28,100",21.81,20.39,"45,370","42,420"
Nebraska,All,"942,950",19.75,15.66,"41,080","32,570"
Nebraska,Construction/Extraction,"39,420",18.96,17.31,"39,430","36,000"
Nevada,All,"1,189,610",20.34,16.13,"42,310","33,550"
Nevada,Construction/Extraction,"53,230",24.03,23.15,"49,990","48,150"
New Hampshire,All,"627,000",22.63,17.51,"47,060","36,420"
New Hampshire,Construction/Extraction,"19,940",21.00,19.90,"43,670","41,390"
New Jersey,All,"3,869,260",25.92,19.56,"53,920","40,680"
New Jersey,Construction/Extraction,"109,250",27.64,26.12,"57,490","54,330"
New Mexico,All,"788,000",20.31,15.29,"42,230","31,810"
New Mexico,Construction/Extraction,"53,380",19.46,17.39,"40,470","36,180"
New York,All,"8,810,950",26.75,19.65,"55,630","40,870"
New York,Construction/Extraction,"304,510",28.71,25.62,"59,720","53,280"
North Carolina,All,"4,030,880",20.81,15.63,"43,280","32,510"
North Carolina,Construction/Extraction,"136,410",17.69,16.40,"36,790","34,120"
North Dakota,All,"440,420",21.20,17.75,"44,100","36,920"
North Dakota,Construction/Extraction,"47,060",24.35,21.91,"50,650","45,560"
Ohio,All,"5,200,880",21.11,16.47,"43,900","34,250"
Ohio,Construction/Extraction,"169,390",22.29,21.31,"46,360","44,320"
Oklahoma,All,"1,577,330",19.64,15.17,"40,850","31,550"
Oklahoma,Construction/Extraction,"85,640",19.03,17.40,"39,580","36,180"
Oregon,All,"1,683,470",22.53,17.50,"46,850","36,400"
Oregon,Construction/Extraction,"65,790",23.99,22.24,"49,890","46,260"
Pennsylvania,All,"5,653,840",22.00,17.13,"45,750","35,640"
Pennsylvania,Construction/Extraction,"219,800",22.95,21.07,"47,730","43,820"
Rhode Island,All,"463,930",23.83,18.43,"49,570","38,330"
Rhode Island,Construction/Extraction,"15,580",22.83,21.49,"47,480","44,700"
South Carolina,All,"1,876,480",19.03,14.74,"39,570","30,660"
South Carolina,Construction/Extraction,"67,390",18.00,16.48,"37,440","34,270"
South Dakota,All,"409,250",17.93,14.36,"37,300","29,880"
South Dakota,Construction/Extraction,"20,700",17.12,15.97,"35,610","33,220"
Tennessee,All,"2,749,480",19.55,15.02,"40,650","31,250"
Tennessee,Construction/Extraction,"85,110",18.37,16.78,"38,200","34,900"
Texas,All,"11,228,940",21.79,16.18,"45,330","33,650"
Texas,Construction/Extraction,"584,240",19.42,16.97,"40,400","35,290"
Utah,All,"1,280,660",20.94,16.20,"43,550","33,690"
Utah,Construction/Extraction,"73,740",19.72,18.08,"41,010","37,600"
Vermont,All,"301,050",21.41,17.39,"44,540","36,170"
Vermont,Construction/Extraction,"14,050",19.84,18.67,"41,270","38,830"
Virginia,All,"3,648,490",24.40,18.05,"50,750","37,550"
Virginia,Construction/Extraction,"152,710",20.00,18.39,"41,590","38,250"
Washington,All,"2,898,350",25.26,19.76,"52,540","41,090"
Washington,Construction/Extraction,"125,460",26.09,24.65,"54,270","51,270"
West Virginia,All,"707,720",18.21,14.14,"37,880","29,410"
West Virginia,Construction/Extraction,"49,590",21.00,18.93,"43,690","39,370"
Wisconsin,All,"2,727,860",20.62,16.52,"42,880","34,350"
Wisconsin,Construction/Extraction,"89,730",23.96,22.51,"49,830","46,820"
Wyoming,All,"282,690",21.60,18.16,"44,930","37,770"
Wyoming,Construction/Extraction,"32,860",23.63,22.17,"49,140","46,100"
