State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
Alabama,All,"1,857,530",19.66,14.83,"40,890","30,850"
Alabama,Construction/Extraction,"75,010",18.37,16.85,"38,210","35,040"
Alaska,All,"324,970",25.98,21.73,"54,040","45,200"
Alaska,Construction/Extraction,"23,450",30.57,29.91,"63,590","62,220"
Arizona,All,"2,526,990",21.43,16.46,"44,580","34,230"
Arizona,Construction/Extraction,"109,280",20.04,18.09,"41,690","37,630"
Arkansas,All,"1,158,790",18.24,14.01,"37,940","29,140"
Arkansas,Construction/Extraction,"44,180",17.08,15.86,"35,530","32,980"
California,All,"15,119,730",25.91,18.84,"53,890","39,190"
California,Construction/Extraction,"529,490",26.06,24.29,"54,200","50,520"
Colorado,All,"2,367,780",23.97,18.28,"49,860","38,020"
Colorado,Construction/Extraction,"122,030",21.18,19.45,"44,060","40,450"
Connecticut,All,"1,646,510",26.47,20.67,"55,060","42,990"
Connecticut,Construction/Extraction,"46,610",25.60,24.84,"53,240","51,670"
Delaware,All,"424,330",23.81,18.03,"49,520","37,490"
Delaware,Construction/Extraction,"15,770",22.12,20.77,"46,020","43,210"
District of Columbia,All,"674,650",37.78,31.20,"78,580","64,890"
District of Columbia,Construction/Extraction,"11,980",24.51,23.21,"50,980","48,280"
Florida,All,"7,665,280",20.11,14.93,"41,820","31,060"
Florida,Construction/Extraction,"288,430",17.79,16.13,"37,000","33,550"
Georgia,All,"3,983,250",21.48,15.79,"44,670","32,840"
Georgia,Construction/Extraction,"128,380",18.37,16.59,"38,210","34,510"
Hawaii,All,"612,580",22.23,18.01,"46,230","37,450"
Hawaii,Construction/Extraction,"27,990",29.01,28.85,"60,350","60,010"
Idaho,All,"628,140",19.12,14.93,"39,770","31,060"
Idaho,Construction/Extraction,"30,220",18.58,17.37,"38,640","36,140"
Illinois,All,"5,765,880",23.45,17.59,"48,780","36,590"
Illinois,Construction/Extraction,"178,280",29.20,29.94,"60,730","62,270"
Indiana,All,"2,905,170",19.94,15.63,"41,470","32,500"
Indiana,Construction/Extraction,"110,780",23.55,21.89,"48,990","45,530"
Iowa,All,"1,512,740",19.77,15.91,"41,120","33,100"
Iowa,Construction/Extraction,"62,390",20.49,19.04,"42,630","39,590"
Kansas,All,"1,359,500",20.20,15.83,"42,020","32,930"
Kansas,Construction/Extraction,"59,060",20.22,18.07,"42,060","37,580"
Kentucky,All,"1,808,010",19.25,15.30,"40,040","31,830"
Kentucky,Construction/Extraction,"67,720",20.35,18.69,"42,330","38,880"
Louisiana,All,"1,915,800",19.32,15.20,"40,190","31,620"
Louisiana,Construction/Extraction,"121,430",19.75,18.14,"41,080","37,740"
Maine,All,"586,390",20.26,16.29,"42,140","33,890"
Maine,Construction/Extraction,"24,180",19.14,18.04,"39,810","37,530"
